Year,County,"Estimated Sales, Thousands of Gallons"
2005,Niagara,64313
2005,Oneida,123399
2005,Onondaga,264343
2005,Ontario,63644
2005,Orange,165767
2005,Orleans,11688
2005,Oswego,68010
2005,Otsego,33994
2005,Putnam,38659
2005,Rensselaer,66890
2005,Rockland,52550
2005,St. Lawrence,39765
2005,Saratoga,98836
2005,Schenectady,66608
2005,Schoharie,14983
2005,Schuyler,9104
2005,Seneca,25024
2005,Steuben,49325
2005,Suffolk,688339
2005,Sullivan,34966
2005,Tioga,19139
2005,Tompkins,35589
2005,Ulster,86762
2005,Warren,39233
2005,Washington,19489
2005,Wayne,38880
2005,Westchester,242131
2005,Wyoming,17792
2005,Yates,8738
2005,New York City,1083697
2005,Statewide Total,5755012
2004,Albany,152358
2004,Allegany,16415
2004,Broome,104126
2004,Cattaraugus,23121
2004,Cayuga,39578
2004,Chautauqua,41742
2004,Chemung,34163
2004,Chenango,22817
2004,Clinton,42154
2004,Columbia,40381
2004,Cortland,28473
2004,Delaware,28178
2004,Dutchess,122481
2004,Erie,365482
2004,Essex,19532
2004,Franklin,16712
2004,Fulton,22757
2004,Genesee,60035
2004,Greene,31935
2004,Hamilton,3333
2004,Herkimer,30621
2004,Jefferson,54511
2004,Lewis,13151
2004,Livingston,39831
2004,Madison,22659
2004,Monroe,289268
2004,Montgomery,39866
2004,Nassau,528766
2004,Niagara,66714
2004,Oneida,99300
2004,Onondaga,221199
2004,Ontario,65249
2004,Orange,163442
2004,Orleans,12371
2004,Oswego,58681
2004,Otsego,39751
2004,Putnam,41176
2004,Rensselaer,67514
2004,Rockland,55193
2004,St. Lawrence,38990
2004,Saratoga,99556
2004,Schenectady,70644
2004,Schoharie,14887
2004,Schuyler,9705
2004,Seneca,18641
2004,Steuben,49270
2004,Suffolk,703078
2004,Sullivan,37381
2004,Tioga,21708
2004,Tompkins,35980
2004,Ulster,87149
2004,Warren,39937
2004,Washington,20519
2004,Wayne,44994
2004,Westchester,240416
2004,Wyoming,17645
2004,Yates,8654
2004,New York City,1145506
2004,Statewide Total,5829696
2003,Albany,162604
2003,Allegany,18359
2003,Broome,109174
2003,Cattaraugus,26328
2003,Cayuga,46430
2003,Chautauqua,44616
2003,Chemung,36227
2003,Chenango,24131
2003,Clinton,39084
2003,Columbia,44458
2003,Cortland,30164
2003,Delaware,23340
2003,Dutchess,121409
2003,Erie,385492
2003,Essex,19993
2003,Franklin,17889
2003,Fulton,25272
2003,Genesee,61960
2003,Greene,30893
2003,Hamilton,3482
2003,Herkimer,31938
2003,Jefferson,48952
2003,Lewis,12425
2003,Livingston,37614
2003,Madison,20798
2003,Monroe,305754
2003,Montgomery,37686
2003,Nassau,537693
2003,Niagara,66012
2003,Oneida,106746
2003,Onondaga,218520
2003,Ontario,67257
2003,Orange,154107
2003,Orleans,13385
2003,Oswego,56185
2003,Otsego,31470
2003,Putnam,43173
2003,Rensselaer,73112
2003,Rockland,61852
2003,St. Lawrence,40573
2003,Saratoga,102502
2003,Schenectady,69915
2003,Schoharie,13791
2003,Schuyler,9797
2003,Seneca,20253
2003,Steuben,51431
2003,Suffolk,719674
2003,Sullivan,38884
2003,Tioga,21088
2003,Tompkins,38169
2003,Ulster,93557
2003,Warren,43865
2003,Washington,22599
2003,Wayne,39179
2003,Westchester,231138
2003,Wyoming,17879
2003,Yates,8573
2003,New York City,1101852
2003,Statewide Total,5880701
2002,Albany,152275
2002,Allegany,16617
2002,Broome,106160
2002,Cattaraugus,25871
2002,Cayuga,41752
2002,Chautauqua,44176
2002,Chemung,29698
2002,Chenango,19128
2002,Clinton,39171
2002,Columbia,42020
2002,Cortland,28542
2002,Delaware,21758
2002,Dutchess,118751
2002,Erie,380025
2002,Essex,19018
2002,Franklin,17990
2002,Fulton,26471
2002,Genesee,60638
2002,Greene,31309
2002,Hamilton,3442
2002,Herkimer,33084
2002,Jefferson,47304
2002,Lewis,13511
2002,Livingston,35777
2002,Madison,21434
2002,Monroe,297012
2002,Montgomery,37868
2002,Nassau,564684
2002,Niagara,63129
2002,Oneida,106434
2002,Onondaga,215685
2002,Ontario,64345
2002,Orange,149539
2002,Orleans,14049
2002,Oswego,57505
2002,Otsego,30642
2002,Putnam,38719
2002,Rensselaer,65477
2002,Rockland,62101
2002,St. Lawrence,39445
2002,Saratoga,98029
2002,Schenectady,63413
2002,Schoharie,13687
2002,Schuyler,9641
2002,Seneca,16508
2002,Steuben,49856
2002,Suffolk,676219
2002,Sullivan,36903
2002,Tioga,20652
2002,Tompkins,37137
2002,Ulster,85034
2002,Warren,41182
2002,Washington,21105
2002,Wayne,40569
2002,Westchester,281996
2002,Wyoming,17760
2002,Yates,8400
2002,New York City,1107540
2002,Statewide Total,5808184
2001,Albany,160997
2001,Allegany,19613
2001,Broome,106374
2001,Cattaraugus,26653
2001,Cayuga,40094
2001,Chautauqua,43714
2001,Chemung,30088
2001,Chenango,20080
2001,Clinton,39250
2001,Columbia,41304
2001,Cortland,28154
2001,Delaware,18630
2001,Dutchess,118795
2001,Erie,383778
2001,Essex,19071
2001,Franklin,19083
2001,Fulton,25739
2001,Genesee,58831
2001,Greene,29697
2001,Hamilton,3473
2001,Herkimer,31302
2001,Jefferson,46593
2001,Lewis,12699
2001,Livingston,35388
2001,Madison,22069
2001,Monroe,294908
2001,Montgomery,37948
2001,Nassau,541332
2001,Niagara,63084
2001,Oneida,102756
2001,Onondaga,204589
2001,Ontario,66022
2001,Orange,141724
2001,Orleans,13968
2001,Oswego,53228
2001,Otsego,30277
2001,Putnam,40856
2001,Rensselaer,65771
2001,Rockland,58155
2001,St. Lawrence,42713
2001,Saratoga,91695
2001,Schenectady,63543
2001,Schoharie,12907
2001,Schuyler,8958
2001,Seneca,15475
2001,Steuben,48861
2001,Suffolk,645499
2001,Sullivan,39984
2001,Tioga,20626
2001,Tompkins,36458
2001,Ulster,85692
2001,Warren,40123
2001,Washington,21318
2001,Wayne,41645
2001,Westchester,276384
2001,Wyoming,17601
2001,Yates,7919
2001,New York City,1065149
2001,Statewide Total,5678637
2000,Albany,165942
2000,Allegany,20381
2000,Broome,102272
2000,Cattaraugus,28740
2000,Cayuga,37188
2000,Chautauqua,44273
2000,Chemung,31773
2000,Chenango,19055
2000,Clinton,38384
2000,Columbia,37236
2000,Cortland,27314
2000,Delaware,16659
2000,Dutchess,110751
2000,Erie,369690
2000,Essex,18665
2000,Franklin,18042
2000,Fulton,22430
2000,Genesee,61231
2000,Greene,28332
2000,Hamilton,3316
2000,Herkimer,30378
2000,Jefferson,49454
2000,Lewis,11744
2000,Livingston,37881
2000,Madison,23340
2000,Monroe,288791
2000,Montgomery,34096
2000,Nassau,509160
2000,Niagara,64743
2000,Oneida,100323
2000,Onondaga,195942
2000,Ontario,62826
2000,Orange,136399
2000,Orleans,13428
2000,Oswego,53617
2000,Otsego,29141
2000,Putnam,42297
2000,Rensselaer,68785
2000,Rockland,59678
2000,St. Lawrence,40946
2000,Saratoga,87765
2000,Schenectady,63630
2000,Schoharie,11955
2000,Schuyler,9546
